TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
Houston,Amer,34,31,117.1,88,0.9638,52.7,42.5,15.3,22,37.1,27.4,28.5,38.5,53.2,43.1,34.5,27.8,64,8,,1,2023
Alabama,SEC,34,29,115.4,88.3,0.9557,52.7,41.5,19,15.9,33.8,27.5,36.7,32.8,54.6,41.2,33.8,28.1,73.5,10.2,,1,2023
Creighton,BE,33,21,113.7,92.9,0.9112,54.3,47.3,16.6,14.3,25.5,23.3,28.1,19.8,54.5,45.6,36,34.1,69.9,10,,6,2023
Connecticut,BE,33,25,118.8,92.5,0.9466,53.5,45.5,18.9,19.4,39.2,26.2,31.4,38.7,53.4,45.8,35.7,30,67.7,4.9,,4,2023
