TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
Houston,Amer,34,31,117.1,88,0.9638,52.7,42.5,15.3,22,37.1,27.4,28.5,38.5,53.2,43.1,34.5,27.8,64,8,,1,2023
Alabama,SEC,34,29,115.4,88.3,0.9557,52.7,41.5,19,15.9,33.8,27.5,36.7,32.8,54.6,41.2,33.8,28.1,73.5,10.2,,1,2023
Creighton,BE,33,21,113.7,92.9,0.9112,54.3,47.3,16.6,14.3,25.5,23.3,28.1,19.8,54.5,45.6,36,34.1,69.9,10,,6,2023
Connecticut,BE,33,25,118.8,92.5,0.9466,53.5,45.5,18.9,19.4,39.2,26.2,31.4,38.7,53.4,45.8,35.7,30,67.7,4.9,,4,2023
San Diego St.,MWC,36,31,110.8,88.8,0.9276,49.6,46.3,17.4,19.2,31.7,25.9,33.1,29.4,49,49.4,33.9,27.8,65.7,5.7,,5,2023
Purdue,B10,35,29,117.9,93.7,0.9332,51.8,47.2,17.2,15.4,38.4,23.5,37.2,19.2,54.1,47.2,32.2,31.3,63.9,9.4,,1,2023
Arizona,P12,35,28,119.4,95.4,0.9294,56.5,47.1,18.4,16.9,30.7,26.1,35.8,25.5,56.4,46.2,37.8,32.3,72.2,7.6,,2,2023
West Virginia,B12,34,19,117.2,97.5,0.893,51.5,50.9,18.5,20.9,34,29.3,39.4,38.7,50.9,50.8,35,34,68.4,1.4,,9,2023
